#{"t_start": 1709852568.9109983, "env_id": null}
r,l,t
3.8999984,39,7.301338
5.799997,58,7.31231
5.799997,58,7.312399
5.799997,58,7.312432
4.9999976,50,7.312457
2.9999993,30,7.322858
6.1999965,62,7.333588
4.399998,44,7.341068
5.0999975,51,7.349464
6.499996,65,7.356941
6.499996,65,7.357043
4.799998,48,7.357076
5.0999975,51,7.364637
6.899996,69,7.383249
5.699997,57,7.388091
6.9999957,70,7.388164
7.0999956,71,7.393476
5.399997,54,7.393551
7.599995,76,7.423769
4.699998,47,7.42385
6.799996,68,7.429861
5.499997,55,7.429976
4.399998,44,7.435988
7.9999948,80,7.446601
6.699996,67,7.451632
8.099995,81,7.451717
8.399996,84,7.466617
6.799996,68,7.471624
6.799996,68,7.471695
8.699997,87,7.482012
5.499997,55,7.487201
5.2999973,53,7.493058
8.099995,81,7.498528
8.999998,90,7.504144
5.9999967,60,7.509891
8.299995,83,7.526807
9.700001,97,7.537637
3.399999,34,7.537712
6.499996,65,7.554377
3.0999992,31,7.560512
4.799998,48,7.566245
5.0999975,51,7.56632
10.200003,102,7.566345
9.900002,99,7.57831
8.499996,85,7.578386
5.699997,57,7.583447
6.599996,66,7.593832
10.300003,103,7.603791
6.9999957,70,7.603878
5.399997,54,7.603899
3.8999984,39,7.612025
4.499998,45,7.61214
3.9999983,40,7.619378
5.699997,57,7.619478
4.1999984,42,7.626909
11.000006,110,7.627011
6.799996,68,7.634246
2.8999994,29,7.634342
7.699995,77,7.648347
5.799997,58,7.654771
9.900002,99,7.65486
5.1999974,52,7.66162
2.0000002,20,7.661749
6.799996,68,7.661812
3.199999,32,7.675521
6.1999965,62,7.680783
12.10001,121,7.685796
7.699995,77,7.690894
6.799996,68,7.690969
7.699995,77,7.695937
4.9999976,50,7.715911
6.2999964,63,7.720669
2.7999995,28,7.720737
8.499996,85,7.730864
10.200003,102,7.730931
6.1999965,62,7.735673
4.499998,45,7.745749
9.800001,98,7.750605
5.399997,54,7.75534
6.9999957,70,7.760105
7.3999953,74,7.769583
5.699997,57,7.769653
6.2999964,63,7.779448
3.7999985,38,7.779515
9.800001,98,7.779535
8.399996,84,7.779551
8.299995,83,7.784096
8.199995,82,7.798371
6.899996,69,7.802927
2.4999998,25,7.812672
3.9999983,40,7.812741
4.1999984,42,7.830872
6.1999965,62,7.830939
6.2999964,63,7.839923
9.6,96,7.84445
4.599998,46,7.848985
6.9999957,70,7.849054
5.399997,54,7.853531
3.9999983,40,7.853597
4.1999984,42,7.86709
4.699998,47,7.867157
7.9999948,80,7.871639
5.699997,57,7.876212
3.4999988,35,7.885158
7.3999953,74,7.894063
10.900005,109,7.89413
4.599998,46,7.89415
10.500004,105,7.894167
6.0999966,61,7.898923
2.2,22,7.903748
4.599998,46,7.908303
7.0999956,71,7.92657
7.0999956,71,7.931117
4.399998,44,7.935919
8.299995,83,7.940462
6.1999965,62,7.940531
3.6999986,37,7.949463
10.300003,103,7.958479
5.1999974,52,7.958546
7.599995,76,7.963075
8.399996,84,7.967657
4.499998,45,7.967721
10.500004,105,7.976715
7.1999955,72,7.97678
7.2999954,73,7.9768
6.2999964,63,7.976817
10.000002,100,7.98575
8.999998,90,7.985821
7.699995,77,8.00368
5.8999968,59,8.017189
5.799997,58,8.021768
8.499996,85,8.026298
5.9999967,60,8.026364
5.699997,57,8.030913
4.8999977,49,8.035414
5.699997,57,8.039967
5.8999968,59,8.053493
7.9999948,80,8.058159
3.399999,34,8.058227
3.7999985,38,8.058248
9.199999,92,8.06304
9.199999,92,8.067718
8.599997,86,8.067784
6.2999964,63,8.067804
4.2999983,43,8.072715
8.799997,88,8.077596
19.80004,198,8.082503
7.499995,75,8.082566
9.099998,91,8.087078
5.2999973,53,8.087144
3.399999,34,8.092138
9.5,95,8.092224
6.1999965,62,8.097129
7.9999948,80,8.102114
4.599998,46,8.107216
5.599997,56,8.107295
5.599997,56,8.112583
4.799998,48,8.117526
6.0999966,61,8.13782
7.899995,79,8.137888
10.300003,103,8.143401
9.299999,93,8.158589
6.9999957,70,8.178765
4.9999976,50,8.198513
8.699997,87,8.208513
7.1999955,72,8.208588
8.099995,81,8.213619
3.0999992,31,8.223755
6.799996,68,8.233977
7.0999956,71,8.234045
7.699995,77,8.239064
4.2999983,43,8.239132
5.499997,55,8.254652
12.00001,120,8.270427
9.299999,93,8.275641
4.9999976,50,8.275709
6.3999963,64,8.280671
5.399997,54,8.285742
4.1999984,42,8.295903
3.6999986,37,8.300743
9.6,96,8.30081
7.599995,76,8.310053
4.0999985,41,8.310121
8.099995,81,8.320168
8.799997,88,8.320235
4.2999983,43,8.325398
7.0999956,71,8.325463
6.2999964,63,8.334965
5.2999973,53,8.335033
8.999998,90,8.335053
0.2,2,12.080841
0.3,3,12.086114
0.3,3,12.086194
0.3,3,12.086214
0.3,3,12.086232
0.5,5,12.097018
0.5,5,12.097092
0.6,6,12.102105
0.70000005,7,12.107411
1.0000001,10,12.122557
1.1000001,11,12.127744
1.1000001,11,12.12782
1.3000002,13,12.137361
1.6000003,16,12.15153
1.6000003,16,12.151606
1.6000003,16,12.151628
1.7000003,17,12.156323
1.9000003,19,12.165733
2.1000001,21,12.175452
2.1000001,21,12.175529
2.2,22,12.180367
2.3,23,12.1853
2.3999999,24,12.190203
2.4999998,25,12.195018
2.4999998,25,12.195092
2.5999997,26,12.199869
2.9999993,30,12.218652
3.399999,34,12.237891
3.5999987,36,12.247521
3.6999986,37,12.25245
3.6999986,37,12.252525
3.7999985,38,12.257425
3.8999984,39,12.262289
3.9999983,40,12.267179
4.399998,44,12.286306
4.499998,45,12.291322
4.8999977,49,12.310349
4.8999977,49,12.310429
5.0999975,51,12.319997
5.1999974,52,12.324965
4.799998,48,12.329803
5.399997,54,12.334715
